chr	start	end	R4	R5	R6	R7	R1	R2	R3	R8	R9	R10
10	20000000	20999999	B73	B73	B73	Oh43	Oh43	Oh43	Oh43	Oh43	B73	Oh43
10	21000000	21999999	B73	B73	B73	Oh43	Oh43	Oh43	Oh43	Oh43	B73	Oh43
10	22000000	22999999	B73	B73	B73	Oh43	Oh43	Oh43	Oh43	Oh43	B73	Oh43
10	23000000	23999999	B73	B73	B73	Oh43	Oh43	Oh43	Oh43	Oh43	B73	Oh43
10	24000000	24999999	B73	B73	B73	Oh43	Oh43	Oh43	Oh43	Oh43	B73	Oh43
10	25000000	25999999	B73	B73	B73	Oh43	Oh43	Oh43	Oh43	Oh43	B73	Oh43
10	26000000	26999999	B73	B73	B73	Oh43	Oh43	Oh43	Oh43	Oh43	B73	Oh43
10	27000000	27999999	B73	B73	B73	Oh43	Oh43	Oh43	Oh43	Oh43	B73	Oh43
10	28000000	28999999	B73	B73	B73	Oh43	B73	Oh43	Oh43	Oh43	B73	Oh43
10	29000000	29999999	B73	B73	B73	Oh43	B73	Oh43	Oh43	Oh43	B73	Oh43
10	30000000	30999999	B73	B73	B73	Oh43	B73	Oh43	Oh43	Oh43	B73	Oh43
10	31000000	31999999	B73	B73	B73	Oh43	B73	Oh43	Oh43	Oh43	B73	Oh43
10	32000000	32999999	B73	B73	B73	Oh43	B73	Oh43	Oh43	Oh43	B73	Oh43
10	33000000	33999999	B73	B73	B73	Oh43	B73	Oh43	Oh43	Oh43	B73	Oh43
10	34000000	34999999	B73	B73	B73	Oh43	B73	Oh43	Oh43	Oh43	B73	Oh43
10	35000000	35999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	36000000	36999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	37000000	37999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	38000000	38999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	39000000	39999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	40000000	40999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	41000000	41999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	42000000	42999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	43000000	43999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	44000000	44999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	45000000	45999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	46000000	46999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	47000000	47999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	48000000	48999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	49000000	49999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	50000000	50999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	51000000	51999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	52000000	52999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	53000000	53999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	54000000	54999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	55000000	55999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	56000000	56999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	57000000	57999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	58000000	58999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	59000000	59999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	60000000	60999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	61000000	61999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	62000000	62999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	63000000	63999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
